seed,frame,n_obs,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg,stream_full_rmse,stream_full_mag_err,stream_full_ang_err_deg,divergentunet_rmse,divergentunet_mag_err,divergentunet_ang_err_deg,unconstrained_rmse,unconstrained_mag_err,unconstrained_ang_err_deg,linstream_rmse,linstream_mag_err,linstream_ang_err_deg
28,11631,147,0.06881518456976353,0.053955014795064926,47.91630554199219,0.060303417811093385,0.054655589163303375,26.290597915649414,0.045139597067964984,0.036899179220199585,24.435827255249023,0.06175952507797814,0.04777875542640686,35.66333770751953,0.07963075939056076,0.06133175268769264,42.05165481567383,0.056551130399074556,0.03974882885813713,30.414793014526367
29,16306,128,0.16787703035652443,0.1367407590150833,33.36088943481445,0.04605951981762359,0.03533242642879486,14.615840911865234,0.0751527833546962,0.05571044608950615,21.061376571655273,0.15184359558688526,0.12966904044151306,28.32288932800293,0.0697239358366869,0.05654256418347359,18.747045516967773,0.10444480657545246,0.06218510493636131,34.53904724121094
30,2241,147,0.062078877921355635,0.046392932534217834,38.82544708251953,0.03309820618499537,0.02595626562833786,12.571969985961914,0.04244016893965603,0.03140117600560188,22.072240829467773,0.07828891221111253,0.06218985840678215,46.934898376464844,0.06623416650475555,0.0553591363132,23.777555465698242,0.14567032755358264,0.057588014751672745,67.2226333618164
31,9321,126,0.05361677375621482,0.041306111961603165,32.170677185058594,0.034813456676518945,0.028717665001749992,15.786386489868164,0.040745524619402944,0.028710080310702324,27.428861618041992,0.06230363401392818,0.038227878510951996,36.99574279785156,0.05391711859661982,0.04058249667286873,31.552570343017578,0.05035272770533088,0.036885205656290054,28.30012321472168
32,16211,146,0.11982176480803143,0.08396536856889725,39.3975830078125,0.04382507262078447,0.02681984193623066,20.44122886657715,0.0619868996633594,0.0503784604370594,21.84495735168457,0.11481752437217235,0.0785326287150383,36.95983123779297,0.051577813583970386,0.03710304945707321,32.650699615478516,0.06812621074121501,0.03316627815365791,39.894710540771484
33,16212,140,0.09655143337165804,0.06358588486909866,46.398921966552734,0.046027365414378005,0.040461570024490356,17.777908325195312,0.0586851696347068,0.047628842294216156,22.498401641845703,0.10039904553289117,0.06381212174892426,43.358245849609375,0.05038448336628947,0.03636318817734718,17.03352165222168,0.07019573013712507,0.04223524406552315,41.2685661315918
34,2169,142,0.06267165833376673,0.03156622499227524,42.92348861694336,0.03440761973104189,0.015478812158107758,21.122100830078125,0.04625518635367818,0.03743315860629082,28.005847930908203,0.05852658734108921,0.031527478247880936,40.26380157470703,0.06892961315475152,0.035869840532541275,34.67280578613281,0.05544489422231447,0.04154498875141144,47.2418098449707
35,2237,140,0.15671093736902622,0.09056531637907028,64.0114517211914,0.03440059828966186,0.03311808034777641,6.960122108459473,0.05468516528463691,0.037128932774066925,14.840680122375488,0.16919784237266416,0.11836695671081543,65.61863708496094,0.06707564607587604,0.03346395865082741,26.874225616455078,0.12596580436680638,0.1125803142786026,30.75299835205078
36,6931,130,0.10349903712828405,0.08469727635383606,60.44493865966797,0.07683294498741967,0.0610940046608448,31.107091903686523,0.09435813737483842,0.0605575367808342,44.61175537109375,0.09530991447780345,0.07216351479291916,60.167152404785156,0.08510405318277729,0.044573038816452026,46.96977233886719,0.1937338415453415,0.07174316048622131,131.08126831054688
37,4444,137,0.18433515573152656,0.19524118304252625,24.541545867919922,0.03655973836410335,0.032429590821266174,11.06552505493164,0.051001209827483525,0.039011504501104355,16.357593536376953,0.148185161027988,0.15883871912956238,21.300161361694336,0.11781038557843208,0.12446881830692291,20.06842803955078,0.09170480956192832,0.059291988611221313,26.594757080078125
38,4595,148,0.07455052463180076,0.060075581073760986,18.30362319946289,0.02858134565501647,0.02641967684030533,6.202314853668213,0.057377648476995086,0.031178303062915802,20.806978225708008,0.0853293068688992,0.07806909829378128,16.69246482849121,0.042789799313473764,0.037363968789577484,9.91131591796875,0.03458342427819406,0.028781723231077194,11.639911651611328
39,16378,137,0.156557815547858,0.11191285401582718,46.81951904296875,0.06646553796095589,0.046436116099357605,21.995868682861328,0.07254671671609388,0.053569063544273376,30.114398956298828,0.10222725178045235,0.07036778330802917,28.21592140197754,0.04400735004079385,0.03647118806838989,18.371318817138672,0.04643333831954503,0.029846733435988426,22.221927642822266
40,9343,143,0.2214882095783272,0.18149885535240173,45.99694061279297,0.0317782728803643,0.02451946958899498,7.510195732116699,0.07732687627634251,0.05008026584982872,30.05546760559082,0.19303171152420048,0.14359904825687408,39.334693908691406,0.048427610626545735,0.0361190028488636,23.930543899536133,0.07318823965183056,0.035956915467977524,31.36005973815918
41,11627,139,0.11895715765025411,0.07848615944385529,40.98942565917969,0.03665951634048826,0.03382440656423569,8.420389175415039,0.047832960500591236,0.03689972311258316,25.94460105895996,0.09726459723353909,0.060167036950588226,37.50264358520508,0.06969631098085481,0.06422894448041916,20.849510192871094,0.05387345828704092,0.03530607372522354,32.84636688232422
42,2213,140,0.13050779992361003,0.10642892122268677,36.57725143432617,0.07004072171402362,0.06646386533975601,12.615704536437988,0.10211149428209003,0.07920783758163452,27.3375301361084,0.14127143276734427,0.13164827227592468,41.90939712524414,0.05369581702046529,0.04095454514026642,16.537626266479492,0.10601630064994648,0.099343441426754,16.173938751220703
43,9248,146,0.059810370840453715,0.033099427819252014,70.39517974853516,0.02546956865830963,0.021598197519779205,13.722674369812012,0.043419441691047736,0.03238562121987343,31.27616310119629,0.06428928700527972,0.038096100091934204,59.793338775634766,0.041085761564500174,0.03452402725815773,26.645402908325195,0.05993753643783266,0.023612787947058678,46.67329788208008
44,11632,143,0.05870637923494749,0.045786358416080475,63.26530838012695,0.041711881770630246,0.03632485121488571,27.85466194152832,0.04957221406567687,0.030825568363070488,42.63671875,0.05596093468432069,0.041569434106349945,43.881141662597656,0.07042170292256476,0.04840775951743126,49.411376953125,0.06023185051415337,0.03820844367146492,48.26177215576172
