seed,frame,n_obs,n_ang_cells,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg
62,879,112,3525,0.08930391742762393,0.04930036218795697,96.19343079042049,0.09457609661707117,0.09010488983947716,49.82739253701129
63,895,139,3558,0.06091345720784207,0.041450787162680386,50.084130786371766,0.05303562175436216,0.03264758640822389,46.97862874806916
64,1002,140,3664,0.14429881499331898,0.10035520094788286,38.28155802876748,0.058100131389241604,0.03271025074821616,33.92909873476292
65,342,130,3524,0.08026628052124345,0.06484983255746214,42.91387636433496,0.09149966276304992,0.0719025603956961,51.74574690556702
66,1851,133,3446,0.04054155782384244,0.018621680040077797,56.6321854625342,0.03096204825636783,0.019120687182295325,43.37377928899779
67,1538,145,3632,0.07615920236473803,0.03609806019668493,47.673599513425,0.06477384360793673,0.04163913304613912,52.080758806355924
68,956,136,3680,0.10843264933754874,0.10796633385046185,26.196923146529162,0.03599263148272613,0.029001680354905652,14.584356000205494
69,104,135,3659,0.1250725188624045,0.07733368419974948,61.3867687756057,0.03447308488230841,0.020267362962847726,16.244799971573315
70,1270,143,3560,0.06330579804645531,0.04302416654411982,34.71288906122463,0.030758518262945633,0.022676696516303385,13.252694209984073
71,1871,107,3689,0.1019332993272687,0.06966233626113874,34.48720089103737,0.061365865910307356,0.04545197389043246,29.863074103931556
72,1871,141,3689,0.10287998424259179,0.07007115999579339,34.118798672816524,0.06062904784270716,0.05395686457294221,23.563292928174008
73,1609,129,3395,0.10077799322027337,0.08151949695536587,71.85067498273445,0.16299677817924496,0.04103797420329138,117.54758887773326
74,389,146,3471,0.0658728864351728,0.06071282904028507,18.80738201230892,0.027698658557647162,0.022470738189558515,9.258225572780622
75,1304,136,3633,0.08128352825520331,0.05807509409697472,87.34011369168249,0.06446288430865162,0.04310246568989236,55.4730700612756
76,1111,136,3603,0.1555285398292725,0.12128998227707802,40.30319246785979,0.030639741076473475,0.02497204720769826,8.543696198418909
77,117,140,3464,0.03970707263308554,0.023159476467801164,60.98348268457275,0.019284826782193478,0.014752999366314837,17.77199288107568
78,1439,130,3677,0.07955884343340895,0.05526669507477467,66.47215978837782,0.07116443107576115,0.04791019394137361,33.09645669895081
79,210,144,3714,0.09389673854713966,0.07923361642813924,36.52510271533053,0.029335364102319843,0.01790003570140538,15.126971166884768
80,1783,131,3659,0.0624299646891403,0.029256578888301996,69.63372076494248,0.04243413849964185,0.030352759377662894,40.84146060605564
81,113,140,3643,0.07592368521299468,0.047206636371085645,32.77499348546487,0.03391095103254656,0.023820101315231566,16.150026935076035
82,1408,135,3565,0.06312188518444452,0.04065949014640967,44.197198223709606,0.04326644552484821,0.03475128845922527,29.33070996991707
